Ticker,Beta,Alpha,Idiosyncratic risk,Months Used
A,0.6601541,0.0068825,0.051114909653530306,60
AA,1.2970964,0.0075679,0.11980427586394443,29
AAL,1.0738399,-0.0026398,0.08514762312666423,60
AAP,0.8008293,0.0006846,0.07688061797611831,60
AAPL,0.578058,0.0107304,0.06831098110507854,60
ABBV,0.6913356,0.0061706,0.07049671650478607,60
ABC,0.7156886,0.0012711,0.0654554688986934,60
ABMD,0.8275124,0.0448107,0.11093136726810965,60
ABT,0.5639571,0.0077033,0.04670317170566415,60
ACC,0.2744289,0.0011222,0.052451233461643675,60
ACGL,0.4976446,0.0028892,0.039868082423007385,60
ACHC,0.8963944,-0.0086977,0.1061965695777192,60
ACM,1.2671337,-0.0049255,0.05784037919561486,60
ACN,0.6348433,0.0076928,0.03868588330425584,60
ADBE,0.6110509,0.0179892,0.05026319048832337,60
ADI,0.9106934,0.0085692,0.051285399251192874,60
ADM,0.4223025,-0.003208,0.05653838784474003,60
ADNT,1.9385703,-0.0295426,0.0960404121270848,29
ADP,0.5381047,0.0074236,0.040864203510142014,60
ADS,1.3413406,-0.0110445,0.061439142598364666,60
ADSK,1.0596724,0.0172719,0.08107635804439199,60
ADT,0.5844319,-0.0224248,0.1574907888600063,41
AEE,0.1915217,0.0063627,0.04278997201470084,60
AEP,0.0414199,0.005468,0.04528697075183135,60
AES,0.5865412,0.0012151,0.05525439835654851,60
AET,-0.0685252,0.0152691,0.05643840515181685,60
AFG,0.6368756,0.0061392,0.03061802881353548,60
AFL,0.5230939,0.0033017,0.03271180634558643,60
AGCO,0.7244144,-0.0012589,0.05255094036418287,60
AGIO,1.7039398,0.0128092,0.15298354281480991,60
AGN,0.7463719,-0.0100955,0.07488655662222103,60
AGNC,0.1317715,0.0002676,0.038981619165972786,60
AGO,0.6889159,0.0047558,0.055958667870677145,60
AGR,-0.0063925,0.0003929,0.0484117424957128,39
AHL,0.2567847,-0.0026134,0.05438368954665613,60
AIG,0.8380655,-0.0061486,0.05235213879605998,60
AIV,0.4311766,0.0055475,0.04620140192316915,60
AIZ,0.563187,0.0034087,0.0523800690910785,60
AJG,0.5766843,0.0052108,0.03239078282323585,60
AKAM,0.4374142,-0.0004413,0.08429370531531846,60
AL,1.3581755,-0.0026889,0.06405859740103938,60
ALB,0.9629773,0.0027423,0.07445954177475986,60
ALGN,1.3095113,0.0254269,0.08479914039103342,60
ALK,0.74821,0.0029087,0.07963693040555697,60
ALKS,1.3874898,-0.0027047,0.10837952294201411,60
ALL,0.5066706,0.0043028,0.03945295514081064,60
ALLE,0.848646,0.0038845,0.03977303788840425,60
ALLY,0.9558261,-0.0042765,0.056049657130546965,60
ALNY,2.0985435,0.0086163,0.134305168400656,60
ALSN,0.964785,0.0047443,0.044431121048848596,60
ALXN,0.942714,-0.0048171,0.09259190052387056,60
AMAT,1.1923133,0.0088835,0.0722170601748082,60
AMCX,0.7208481,-0.0070681,0.059970647882639054,60
AMD,2.1248267,0.0376647,0.14406692560607687,60
AME,0.824232,0.002179,0.037791058050115185,60
AMG,1.1280692,-0.0147637,0.05353594112392519,60
AMGN,0.7187572,0.0041412,0.05849525632517003,60
AMH,0.5200562,0.0004341,0.04603533848057667,60
AMP,1.3595412,0.000866,0.05303554971614946,60
AMT,0.1581681,0.0092894,0.049834993910298976,60
AMTD,1.0773144,0.0056018,0.05612487314029731,60
AMZN,0.7697298,0.0233668,0.07822663722208553,60
AN,0.8624576,-0.0090762,0.07543106584725208,60
ANAT,0.5274346,0.0013547,0.033837705538796226,60
ANET,0.9923725,0.0253088,0.10068794443325368,57
ANSS,0.7499118,0.008716,0.05073785821183793,60
ANTM,0.5290658,0.0154755,0.052944818943375056,60
AON,0.5131488,0.007238,0.03853746305649812,60
AOS,1.0538538,0.0097046,0.040550482705757576,60
APA,1.2746786,-0.0139399,0.10483230125029915,60
APC,1.148131,-0.0125409,0.08697294361217625,60
APD,0.5485429,0.0028374,0.03475109751259263,60
APH,0.5911997,0.0066378,0.031194292073186816,60
APLE,0.6896587,-0.0036457,0.037764154341074864,46
APTV,1.3677195,0.0041415,0.07719062349477573,15
APY,1.7324687,0.0205628,0.0704836732913768,11
AR,0.5374097,-0.0329988,0.09759367863129778,60
ARD,0.8329443,-0.0268165,0.0683780231983693,24
ARE,0.6551467,0.0074121,0.04082847923798309,60
ARMK,0.7036856,-0.0021249,0.052372089942080924,60
ARNC,0.5901117,-0.0075434,0.10981575834455995,60
ARRS,0.5650787,-0.0013273,0.08434228809743352,60
ARW,0.8226977,-0.0002031,0.04152682199733886,60
ASB,1.0240024,0.000639,0.035079156664291816,60
ASH,0.8892775,0.0035898,0.042795975311622506,60
ATH,0.6195248,-0.0113641,0.05330168288750051,27
ATHN,0.3766306,-0.0042513,0.1064961553253497,60
ATO,0.1649753,0.0089923,0.04557168837875808,60
ATR,0.4865676,0.0027779,0.03356534991184583,60
ATVI,0.3441939,0.0097065,0.08676423655678056,60
AVB,0.4285356,0.003548,0.044033149060524836,60
AVGO,0.4425443,0.0226581,0.07492887519601756,60
AVT,0.87787,-0.0046324,0.04641116701470044,60
AVY,0.8493853,0.0089938,0.04761588168656188,60
AWI,1.2430411,0.0011839,0.062024750395161206,60
AWK,0.1367071,0.009767,0.04645500089268767,60
AXP,0.7999841,-0.0012944,0.04261039307906938,60
AXS,0.3724949,-0.0001566,0.041654542836451855,60
AXTA,0.9807568,-0.0032737,0.053034421937082736,52
AYI,1.3413077,-0.0028769,0.07950435595900258,60
AZO,0.4980641,0.0035483,0.051652990870651165,60
AZPN,0.9796637,0.0105704,0.06496643049804392,60
BA,0.6311942,0.0181329,0.06327479833889173,60
BAC,1.0839128,0.0056603,0.056716534166092555,60
BAH,0.7150148,0.0129289,0.06093504604801584,60
BAX,0.4953714,0.0063887,0.05050898530346132,60
BBT,0.8921234,0.0011286,0.03832500205618105,60
BBY,0.6839181,0.0125354,0.07429585158448135,60
BC,1.2813146,-0.0008508,0.05473727752226302,60
BDN,0.7859823,-0.0005096,0.04784587024969874,60
BDX,0.7089798,0.0084113,0.043925069001247284,60
BEN,0.8555146,-0.0111264,0.04491478284196248,60
BERY,0.7163283,0.0089409,0.058726971784434645,60
BF.A,0.1281486,-0.0100767,0.02805692579286189,5
BF.B,0.2819311,0.0003671,0.04972613697919968,60
BFAM,0.3479177,0.0133986,0.037545886632143116,60
BG,0.5075072,-0.0091081,0.06895198261213732,60
BGCP,1.050484,0.0076956,0.0655772681262971,60
BHF,1.4310819,-0.0199394,0.08124225359100752,20
BHGE,1.0064602,-0.0167895,0.10324422426497419,20
BIIB,0.8154979,-0.002954,0.07252149876298865,60
BIO,0.9400219,0.0078657,0.05013363933712042,60
BK,0.6985948,0.0028432,0.044978174511668384,60
BKI,0.5348669,-0.0014864,0.04326442872025368,17
BKNG,0.509172,0.0035899,0.06937384579700615,60
BKU,0.9429297,-0.0025801,0.044126084987339255,60
BLK,0.9252496,0.0017354,0.0365631362041534,60
BLL,0.4320689,0.006805,0.04765077274671972,60
BLUE,2.8683212,0.0471305,0.21615541142555392,60
BMRN,1.2005806,0.0022905,0.0848260135605789,60
BMS,0.5873967,0.0017371,0.04495736854950029,60
BMY,0.5800925,-0.0027502,0.06723903812583376,60
BOH,0.8564988,0.0017639,0.034581219707583356,60
BOKF,1.0738084,0.0017175,0.04342222799767347,60
BPOP,0.8849302,0.0070463,0.061411659679973904,60
BPR,0.9378202,0.0151088,0.04143667252630836,7
BR,0.5455668,0.0128064,0.04789716908525136,60
BRK.B,0.4071339,0.0022155,0.03280445424590164,60
BRKR,1.0583909,0.0049928,0.07058065839234212,60
BRO,0.5925362,0.0060226,0.03309912569059793,60
BRX,0.6006395,-0.0041868,0.05854011739125315,60
BSX,0.5928362,0.0132648,0.052177850961691495,60
BURL,0.3881787,0.0251372,0.07273160917535805,60
BWA,1.1691632,-0.0095011,0.06546713427066303,60
